               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094858,             0.14997,            0.034791,            0.018823,              0.3636,            0.027944,           0.0084782,            0.075431,              0.1102,            0.030561,              0.0793,              0.0023,              0.0023
                   1,            0.085899,             0.16027,            0.027344,            0.018992,             0.30428,            0.023529,           0.0074314,            0.075588,              0.1088,             0.02559,            0.057653,           0.0046535,           0.0046535
                   2,            0.083804,             0.16051,            0.022659,            0.018055,             0.18534,            0.018261,           0.0056577,            0.074336,             0.11192,            0.022816,            0.035959,           0.0069594,           0.0069594
                   3,            0.080555,              0.1643,            0.018047,            0.012461,             0.32072,            0.031164,           0.0085581,            0.078833,             0.10429,            0.021171,            0.014218,           0.0092178,           0.0092178
                   4,             0.07563,             0.15861,            0.012735,            0.011475,             0.25214,           0.0070105,           0.0018937,            0.099933,            0.084259,             0.11826,            0.009604,            0.009604,            0.009604
                   5,            0.070941,             0.15386,           0.0083805,             0.48318,             0.24401,             0.12966,            0.039829,            0.084714,             0.10258,            0.013096,            0.009604,            0.009604,            0.009604
                   6,            0.066772,             0.14769,           0.0062773,              0.1969,             0.28392,              0.1543,            0.041037,            0.083296,             0.10439,            0.019706,            0.009505,            0.009505,            0.009505
                   7,            0.063108,             0.14342,           0.0050205,             0.43762,             0.18056,             0.18059,            0.060594,            0.081112,             0.11495,            0.024047,            0.009406,            0.009406,            0.009406
                   8,            0.059621,              0.1449,            0.004326,             0.32836,             0.37461,             0.29729,            0.097612,            0.068205,             0.10467,            0.018157,            0.009307,            0.009307,            0.009307
                   9,            0.056029,             0.13799,           0.0037774,             0.47492,             0.61014,             0.49286,              0.2128,             0.05899,            0.093463,           0.0084198,            0.009208,            0.009208,            0.009208
                  10,            0.053784,             0.13898,           0.0037432,             0.27368,              0.4802,             0.42798,             0.16537,            0.076187,            0.091687,           0.0078261,            0.009109,            0.009109,            0.009109
                  11,            0.050898,             0.13555,           0.0034389,             0.62876,              0.7544,               0.696,             0.28743,            0.045467,            0.088243,            0.002572,             0.00901,             0.00901,             0.00901
                  12,            0.048847,              0.1365,           0.0031314,             0.60877,             0.78284,              0.7761,             0.39096,            0.041987,            0.089739,           0.0021923,            0.008911,            0.008911,            0.008911
                  13,             0.04777,             0.13138,           0.0029954,             0.79334,             0.86767,             0.86122,             0.43284,             0.03602,            0.079741,           0.0017451,            0.008812,            0.008812,            0.008812
                  14,            0.046375,             0.13496,           0.0027841,             0.70035,             0.82207,             0.82574,               0.445,            0.035452,            0.078971,           0.0019916,            0.008713,            0.008713,            0.008713
                  15,            0.046012,             0.12454,           0.0027486,              0.7784,              0.8897,             0.85268,              0.4741,             0.03346,             0.08044,           0.0014799,            0.008614,            0.008614,            0.008614
                  16,             0.04417,             0.12911,           0.0025104,             0.72898,             0.87355,             0.84937,             0.47171,            0.033386,            0.075997,           0.0014463,            0.008515,            0.008515,            0.008515
                  17,            0.043951,             0.12774,           0.0022259,             0.77486,              0.8782,             0.88533,             0.48593,            0.031732,             0.07538,           0.0012168,            0.008416,            0.008416,            0.008416
                  18,            0.042013,             0.12379,           0.0022373,             0.76065,             0.87086,             0.87002,             0.49973,            0.032286,            0.076709,           0.0016505,            0.008317,            0.008317,            0.008317
                  19,             0.04161,             0.12864,           0.0020886,             0.82344,             0.90936,             0.89431,             0.51859,             0.03136,            0.074754,           0.0010892,            0.008218,            0.008218,            0.008218
                  20,            0.042007,             0.12815,           0.0020514,             0.79651,              0.8695,             0.88678,             0.51411,            0.031384,            0.071808,           0.0011989,            0.008119,            0.008119,            0.008119
                  21,            0.042419,             0.12888,           0.0020628,             0.76846,              0.9109,             0.89615,             0.54435,                0.03,             0.07665,           0.0011464,             0.00802,             0.00802,             0.00802
                  22,            0.040166,             0.12487,           0.0020312,               0.808,             0.91692,             0.90484,             0.46992,            0.030053,            0.075601,           0.0010464,            0.007921,            0.007921,            0.007921
                  23,             0.03931,             0.12407,            0.001847,             0.80867,              0.9065,             0.90513,              0.5297,            0.029731,            0.072516,          0.00084476,            0.007822,            0.007822,            0.007822
                  24,            0.040062,             0.12131,           0.0017379,             0.82276,             0.90151,             0.90234,             0.51573,            0.030688,            0.076382,           0.0008383,            0.007723,            0.007723,            0.007723
                  25,            0.040083,             0.12354,           0.0018664,             0.76057,             0.92268,             0.88948,             0.49857,            0.030812,            0.073079,           0.0010486,            0.007624,            0.007624,            0.007624
                  26,             0.03865,             0.12491,            0.001904,             0.81097,             0.93167,             0.90149,             0.54027,            0.030709,            0.071919,          0.00096864,            0.007525,            0.007525,            0.007525
                  27,            0.039767,             0.12349,           0.0016525,             0.79623,             0.89668,             0.90217,             0.51091,            0.029373,            0.071501,          0.00099068,            0.007426,            0.007426,            0.007426
                  28,            0.038444,             0.12321,           0.0016251,             0.83427,             0.91259,              0.9029,              0.5509,            0.028527,            0.075069,          0.00085811,            0.007327,            0.007327,            0.007327
                  29,            0.038595,             0.12444,           0.0015549,             0.81451,             0.93937,             0.90271,             0.52111,            0.030106,            0.073019,          0.00082449,            0.007228,            0.007228,            0.007228
                  30,            0.037848,             0.12112,           0.0015559,             0.81284,             0.91908,             0.90432,             0.54484,            0.028513,            0.071199,          0.00079293,            0.007129,            0.007129,            0.007129
                  31,            0.037182,             0.12447,           0.0015514,             0.84814,             0.89227,             0.90586,             0.55646,            0.028921,            0.077785,          0.00079921,             0.00703,             0.00703,             0.00703
                  32,            0.037097,             0.12012,           0.0015543,             0.82657,              0.9063,             0.90975,             0.57707,            0.027232,            0.073279,          0.00077279,            0.006931,            0.006931,            0.006931
                  33,            0.036639,             0.11831,           0.0014399,             0.82601,             0.91258,             0.90376,             0.55476,            0.027564,            0.069479,          0.00070348,            0.006832,            0.006832,            0.006832
                  34,            0.036453,             0.11937,           0.0014075,             0.80681,             0.90432,             0.90008,             0.50536,            0.027636,             0.07117,          0.00069942,            0.006733,            0.006733,            0.006733
                  35,            0.037632,             0.12282,           0.0014746,             0.78984,              0.9038,             0.89955,             0.54209,            0.027511,             0.06883,          0.00074048,            0.006634,            0.006634,            0.006634
                  36,            0.037057,             0.12136,           0.0013821,             0.84974,             0.89758,             0.89877,             0.55001,            0.030392,             0.07023,          0.00075758,            0.006535,            0.006535,            0.006535
                  37,            0.036014,             0.11596,           0.0013941,             0.84998,             0.88555,             0.90494,             0.57303,             0.02763,            0.070378,          0.00067818,            0.006436,            0.006436,            0.006436
                  38,            0.035352,              0.1177,           0.0012317,             0.84945,             0.90431,             0.91065,             0.55628,            0.029366,            0.069103,          0.00065666,            0.006337,            0.006337,            0.006337
                  39,            0.037425,             0.11869,           0.0012974,             0.80722,             0.91766,             0.90498,              0.5652,            0.029182,            0.072992,           0.0007119,            0.006238,            0.006238,            0.006238
                  40,            0.035632,             0.11742,           0.0013773,              0.7896,             0.89847,             0.89727,             0.54152,            0.027845,            0.075124,           0.0007096,            0.006139,            0.006139,            0.006139
                  41,            0.035853,             0.11722,           0.0012669,              0.8609,             0.89775,             0.91149,             0.59035,            0.027377,             0.06968,          0.00065729,             0.00604,             0.00604,             0.00604
                  42,            0.034962,             0.11871,           0.0011807,             0.82105,             0.86971,              0.8808,             0.53745,            0.028325,            0.073465,          0.00069051,            0.005941,            0.005941,            0.005941
                  43,            0.035504,             0.11828,           0.0012907,             0.84429,             0.92028,              0.9126,             0.56629,            0.027307,            0.068821,          0.00059468,            0.005842,            0.005842,            0.005842
                  44,            0.034629,             0.11637,           0.0012451,             0.82659,             0.91497,             0.91537,             0.59473,            0.027142,            0.067591,          0.00061462,            0.005743,            0.005743,            0.005743
